,"RD","H","NH","Phase"
"1","11,1","5,5","2,5","Subapennine"
"2","9,5","4,8",2,"Subapennine"
"3","20,8","9,5","3,8","Subapennine"
"4","19,5","8,8","2,7","Subapennine"
"5","15,5","9,8","3,2","Subapennine"
"6","11,7","3,8","1,4","Subapennine"
"7","10,8","3,5","1,7","Subapennine"
"8",15,"11,8","3,5","Subapennine"
"9","18,5","10,5","4,8","Subapennine"
"10",11,"5,8","3,7","Subapennine"
"11",9,"5,8",3,"Subapennine"
"12",9,"7,4",4,"Subapennine"
"13","12,1","6,4","4,7","Subapennine"
"14","10,7","6,3",4,"Subapennine"
"15","19,5","10,8","4,7","Subapennine"
"16",20,"10,6",5,"Subapennine"
"17",18,9,"4,4","Subapennine"
"18",19,8,"4,2","Subapennine"
"19",24,"7,7",3,"Subapennine"
"20","15,2","3,5",3,"Subapennine"
"21","13,2","3,5","1,9","Subapennine"
"22","29,5","9,5","3,5","Subapennine"
"23",12,"4,8","2,2","Subapennine"
"24","10,1","4,3","1,8","Subapennine"
"25",22,"8,3",3,"Subapennine"
"26",29,"10,8","3,2","Subapennine"
"27","9,8",4,"2,5","Subapennine"
"28","8,7",6,"2,5","Subapennine"
"29","19,1","11,3",5,"Subapennine"
"30",10,"6,4","2,5","Subapennine"
"31","10,5",6,"3,2","Subapennine"
"32",9,5,2,"Subapennine"
"33","18,5","9,8","4,5","Subapennine"
"34",19,"8,5","5,3","Subapennine"
"35","18,3","8,3",4,"Subapennine"
"36","18,5","8,5","4,5","Subapennine"
"37","17,2","8,3","4,3","Subapennine"
"38","9,5","6,3","3,2","Subapennine"
"39",9,6,"2,5","Subapennine"
"40","19,5","9,1","3,3","Subapennine"
"41",11,"4,3",3,"Protoapennine"
"42",15,"5,5",2,"Protoapennine"
"43","8,5","3,8","2,5","Protoapennine"
"44",19,"14,3",5,"Protoapennine"
"45","10,1","5,3","1,7","Protoapennine"
"46","11,5","3,3",2,"Protoapennine"
"47",9,"3,6","1,5","Protoapennine"
"48","10,5","5,8","2,8","Protoapennine"
"49",11,"5,4","2,5","Protoapennine"
"50",19,"10,8",5,"Protoapennine"
"51","8,8","3,8",2,"Protoapennine"
"52","9,5",4,"2,3","Protoapennine"
"53","13,3","8,3","3,5","Protoapennine"
"54",8,6,3,"Protoapennine"
"55",8,"6,6","1,6","Protoapennine"
"56","15,8","11,1",5,"Protoapennine"
"57","8,4","5,3","2,9","Protoapennine"
"58","12,9","5,7","2,1","Protoapennine"
"59",13,"8,2","2,5","Protoapennine"
"60","6,6","4,1","2,2","Protoapennine"
